time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
12:20:20.445 , 0.09, -0.18, 0.07, 3.30, -1.83, 2.99, 23.22, 269.66, 95.67, 
12:20:20.447 , -0.16, -0.15, 0.15, -5.00, -2.32, -0.55, 10.72, 278.71, 86.98, 
12:20:20.460 , -0.00, 0.05, -0.08, 0.37, 4.03, -2.20, 17.86, 275.09, 55.66, 
12:20:20.471 , -0.00, -0.04, 0.22, 2.87, -4.03, 3.91, 21.44, 264.23, 62.62, 
12:20:20.506 , -0.22, -0.05, -0.10, -4.03, 1.22, -1.40, 21.44, 264.23, 62.62, 
12:20:20.507 , 0.08, 0.09, -0.01, -1.10, 1.34, -3.11, 14.29, 260.61, 73.06, 
12:20:20.516 , 0.02, -0.06, 0.14, 2.38, -6.84, 3.17, 14.29, 260.61, 73.06, 
12:20:20.532 , -0.02, -0.05, -0.23, 0.24, 2.75, -1.71, 14.29, 285.95, 59.14, 
12:20:20.546 , 0.07, -0.12, 0.14, -1.59, -0.24, 1.59, 14.29, 285.95, 59.14, 
12:20:20.580 , -0.19, -0.07, 0.18, -0.31, -3.60, 2.14, 30.37, 298.62, 19.13, 
12:20:20.581 , -0.01, 0.13, -0.13, 2.44, 4.15, -2.26, 30.37, 298.62, 19.13, 
12:20:20.590 , -0.00, -0.03, 0.13, -1.34, -2.75, 3.23, 19.65, 273.28, 74.80, 
12:20:20.608 , -0.22, 0.02, 0.01, -4.15, -1.46, -2.14, 19.65, 273.28, 74.80, 
12:20:20.620 , 0.07, 0.04, -0.11, 3.60, 2.20, -1.59, 30.37, 269.66, 85.24, 
12:20:20.657 , 0.05, -0.11, 0.06, 0.43, -5.80, 4.03, 30.37, 269.66, 85.24, 
12:20:20.659 , -0.07, -0.11, -0.08, -4.58, 1.95, -2.32, 16.08, 284.14, 36.53, 
12:20:20.666 , -0.02, -0.05, 0.13, 2.50, 0.49, 1.40, 16.08, 284.14, 36.53, 
12:20:20.681 , -0.15, -0.05, 0.14, 1.22, -4.33, 2.81, 19.65, 295.00, 50.45, 
12:20:20.696 , -0.02, 0.06, -0.18, -2.56, 4.46, -2.50, 19.65, 295.00, 50.45, 
12:20:20.711 , 0.02, 0.04, 0.11, -0.92, -3.11, 0.98, 8.93, 266.04, 78.28, 
12:20:20.726 , -0.12, -0.06, 0.06, 0.85, -3.11, -0.43, 8.93, 266.04, 78.28, 
12:20:20.740 , 0.10, -0.03, -0.17, 1.83, 3.60, -1.04, 7.15, 253.37, 66.10, 
